name,kind,lat,lon
Bono Coffee Roasters,cafe,51.045687432533384,-114.06346768140793
Calgary Cenotaph,memorial,51.041174657490245,-114.0710985660553
Calgary Tower,attraction,51.044299581787385,-114.06313508749008
Central Memorial Park,park,51.04112237687767,-114.06990230083466
Conversation,artwork,51.045680687308305,-114.06584411859512
Devonian Gardens,park,51.046228733642494,-114.0687569975853
Enoch Park,park,51.041754799683105,-114.05797451734543
Glenbow Museum,museum,51.045129261837104,-114.06125754117966
Harley Hotchkiss Gardens,park,51.04724723945287,-114.07268106937408
Harmony Park,park,51.04890985148006,-114.06359910964966
Haultain Park,park,51.04012397450333,-114.06742662191391
Heliopolis Social Cafe,cafe,51.0448510171351,-114.06573683023453
Humpy Hollow Park,park,51.038098433316264,-114.06421065330505
James Short School Cupola,memorial,51.048557436673775,-114.06309217214584
Legacy,artwork,51.04808867024005,-114.0689206123352
National Music Centre,museum,51.04457951614813,-114.05290514230728
Olympic Plaza,park,51.045930259981475,-114.05909299850464
Rouleauville Square,park,51.037319225695285,-114.06611233949661
Sien Lok Park,park,51.051951636241,-114.06404167413712
Starbucks,cafe,51.04483415376609,-114.06286150217056
TELUS Spark Science Centre,museum,51.05387203936587,-114.02443885803223
Thanks for Being There to Hold My Ears as they Burn,artwork,51.03818950867637,-114.06417042016983
The Confluence Historic Site & Parkland,museum,51.044820663066474,-114.04442399740219
The Family of Man,artwork,51.04775985642132,-114.05995398759842
The Hangar Flight Museum,museum,51.09397322736521,-114.01376098394394
The Military Museums,museum,51.0135268483985,-114.11610335111618
Traveling Family,artwork,51.04177166417307,-114.05873626470566
Waves Coffee House,cafe,51.043412549688384,-114.06124413013458
Wonderland,artwork,51.047650251296346,-114.06209170818329
World's Tallest Mural,artwork,51.04309888028041,-114.06339257955551
