origin,destination
"ADD","ARN"
"ADD","BKK"
"ADD","CAI"
"ADD","CDG"
"ADD","DEL"
"ADD","DOH"
"ADD","DXB"
"ADD","FCO"
"ADD","FRA"
"ADD","HKG"
"ADD","IST"
"ADD","JED"
"ADD","JNB"
"ADD","LHR"
"ADD","PEK"
"ADD","TLV"
"ADD","YYZ"
"ARN","AMS"
"ARN","BCN"
"ARN","BRU"
"ARN","CDG"
"ARN","DUB"
"ARN","DXB"
"ARN","FCO"
"ARN","FRA"
"ARN","IST"
"ARN","LGW"
"ARN","LHR"
"ARN","MUC"
"ARN","ORD"
"ARN","PEK"
"ARN","VIE"
"ARN","ZRH"
"ATH","AMS"
"ATH","ARN"
"ATH","BCN"
"ATH","BRU"
"ATH","CDG"
"ATH","CPH"
"ATH","DME"
"ATH","DOH"
"ATH","DUB"
"ATH","DXB"
"ATH","FCO"
"ATH","FRA"
"ATH","IST"
"ATH","LGW"
"ATH","LHR"
"ATH","MUC"
"ATH","OSL"
"ATH","VIE"
"ATH","YYZ"
"ATH","ZRH"
"ATL","AMS"
"ATL","CDG"
"ATL","FRA"
"BCN","AMS"
"BCN","CDG"
"BCN","DME"
"BCN","DXB"
"BCN","FRA"
"BCN","IST"
"BCN","LGW"
"BCN","LHR"
"BCN","MUC"
"BKK","AMS"
"BKK","ARN"
"BKK","BRU"
"BKK","CDG"
"BKK","CPH"
"BKK","DME"
"BKK","DXB"
"BKK","FCO"
"BKK","FRA"
"BKK","HKG"
"BKK","ICN"
"BKK","IST"
"BKK","LHR"
"BKK","MUC"
"BKK","PEK"
"BKK","SIN"
"BKK","VIE"
"BKK","ZRH"
"BRU","AMS"
"BRU","ATL"
"BRU","BCN"
"BRU","CDG"
"BRU","DME"
"BRU","FCO"
"BRU","FRA"
"BRU","IST"
"BRU","LGW"
"BRU","LHR"
"BRU","MUC"
"BRU","ORD"
"BRU","PEK"
"BUD","AMS"
"BUD","ARN"
"BUD","ATH"
"BUD","BCN"
"BUD","BRU"
"BUD","CAI"
"BUD","CDG"
"BUD","CPH"
"BUD","DOH"
"BUD","DUB"
"BUD","FCO"
"BUD","FRA"
"BUD","HEL"
"BUD","IST"
"BUD","LGW"
"BUD","LHR"
"BUD","LIS"
"BUD","MLA"
"BUD","MUC"
"BUD","OSL"
"BUD","PRG"
"BUD","TLV"
"BUD","VIE"
"BUD","WAW"
"BUD","ZRH"
"CAI","AMS"
"CAI","ATH"
"CAI","BCN"
"CAI","BKK"
"CAI","BRU"
"CAI","CDG"
"CAI","CMN"
"CAI","CPH"
"CAI","DME"
"CAI","DOH"
"CAI","DXB"
"CAI","FCO"
"CAI","FRA"
"CAI","IST"
"CAI","JED"
"CAI","JNB"
"CAI","LHR"
"CAI","MUC"
"CAI","PEK"
"CAI","VIE"
"CAI","YYZ"
"CAI","ZRH"
"CDG","AMS"
"CDG","FRA"
"CMN","AMS"
"CMN","ARN"
"CMN","BCN"
"CMN","BRU"
"CMN","CDG"
"CMN","CPH"
"CMN","DOH"
"CMN","DXB"
"CMN","FCO"
"CMN","FRA"
"CMN","GRU"
"CMN","IST"
"CMN","JED"
"CMN","LGW"
"CMN","LHR"
"CMN","LIS"
"CMN","MUC"
"CMN","ZRH"
"CPH","AMS"
"CPH","ARN"
"CPH","BCN"
"CPH","BRU"
"CPH","CDG"
"CPH","DUB"
"CPH","DXB"
"CPH","FCO"
"CPH","FRA"
"CPH","IST"
"CPH","LGW"
"CPH","LHR"
"CPH","MUC"
"CPH","ORD"
"CPH","PEK"
"CPH","SIN"
"CPH","VIE"
"CPH","YYZ"
"CPH","ZRH"
"DEL","AMS"
"DEL","BKK"
"DEL","BRU"
"DEL","CDG"
"DEL","DOH"
"DEL","DXB"
"DEL","FCO"
"DEL","FRA"
"DEL","HKG"
"DEL","ICN"
"DEL","IST"
