seq,lat,lon,dist,speed
0,43.7350269,7.4212652,0,290.0
1,43.7351166,7.4212558,10,290.0
2,43.7352064,7.4212465,20,290.0
3,43.7352960,7.4212365,30,290.0
4,43.7353857,7.4212253,40,290.0
5,43.7354755,7.4212177,50,290.0
6,43.7355653,7.4212113,60,290.0
7,43.7356552,7.4212086,70,290.0
8,43.7357452,7.4212107,80,290.0
9,43.7358350,7.4212171,90,290.0
10,43.7359248,7.4212256,100,290.0
11,43.7360144,7.4212360,110,290.0
12,43.7361035,7.4212532,120,290.0
13,43.7361922,7.4212741,130,290.0
14,43.7362800,7.4213011,140,290.0
15,43.7363669,7.4213332,150,281.8
16,43.7364527,7.4213707,160,260.7
17,43.7365385,7.4214082,170,237.8
18,43.7366257,7.4214380,180,212.3
19,43.7367149,7.4214550,190,183.4
20,43.7368038,7.4214741,200,149.0
21,43.7368916,7.4215000,210,103.8
22,43.7369605,7.4215748,220,97.5
23,43.7369816,7.4216948,230,112.0
24,43.7369933,7.4218180,240,124.9
25,43.7370049,7.4219413,250,136.6
26,43.7370166,7.4220646,260,147.3
27,43.7370288,7.4221878,270,157.3
28,43.7370415,7.4223109,280,166.8
29,43.7370542,7.4224340,290,175.7
30,43.7370670,7.4225570,300,184.2
31,43.7370830,7.4226793,310,192.3
32,43.7371001,7.4228014,320,200.0
33,43.7371201,7.4229226,330,207.5
34,43.7371434,7.4230427,340,214.7
35,43.7371672,7.4231626,350,221.7
36,43.7371929,7.4232817,360,228.5
37,43.7372187,7.4234008,370,235.1
38,43.7372445,7.4235199,380,241.5
39,43.7372704,7.4236390,390,247.7
40,43.7372957,7.4237583,400,253.8
41,43.7373201,7.4238780,410,259.8
42,43.7373444,7.4239977,420,265.6
43,43.7373675,7.4241178,430,271.3
44,43.7373875,7.4242389,440,276.8
45,43.7374018,7.4243617,450,282.3
46,43.7374121,7.4244852,460,279.3
47,43.7374221,7.4246087,470,258.0
48,43.7374313,7.4247324,480,234.7
49,43.7374397,7.4248562,490,209.0
50,43.7374608,7.4249767,500,191.6
51,43.7374929,7.4250927,510,199.4
52,43.7375320,7.4252046,520,206.9
53,43.7375710,7.4253167,530,214.2
54,43.7376101,7.4254287,540,221.2
55,43.7376491,7.4255407,550,228.0
56,43.7376887,7.4256523,560,234.6
57,43.7377279,7.4257643,570,241.0
58,43.7377626,7.4258789,580,247.2
59,43.7377908,7.4259969,590,253.3
60,43.7378139,7.4261170,600,259.3
61,43.7378367,7.4262373,610,239.5
62,43.7378624,7.4263564,620,214.3
63,43.7378894,7.4264750,630,185.7
64,43.7379181,7.4265929,640,151.8
65,43.7379083,7.4267081,650,161.6
66,43.7379203,7.4267144,660,170.8
67,43.7379107,7.4268212,670,179.5
68,43.7379215,7.4269445,680,187.8
69,43.7379375,7.4270668,690,195.7
70,43.7379634,7.4271857,700,198.9
71,43.7379988,7.4273000,710,196.2
72,43.7380432,7.4274081,720,203.9
73,43.7380971,7.4275076,730,211.2
74,43.7381550,7.4276025,740,218.3
75,43.7382196,7.4276890,750,204.1
76,43.7382904,7.4277656,760,173.8
77,43.7383671,7.4278303,770,145.7
78,43.7384528,7.4278666,780,143.9
79,43.7385422,7.4278759,790,154.1
80,43.7386318,7.4278649,800,163.7
81,43.7387207,7.4278457,810,172.8
82,43.7388071,7.4278115,820,181.4
83,43.7388910,7.4277666,830,189.6
84,43.7389722,7.4277133,840,164.1
85,43.7390461,7.4276518,850,151.2
86,43.7391008,7.4275538,860,161.0
87,43.7391606,7.4274609,870,170.2
88,43.7392208,7.4273685,880,178.9
89,43.7392843,7.4272806,890,153.8
90,43.7393594,7.4272134,900,125.0
91,43.7394450,7.4271770,910,117.3
92,43.7395342,7.4271861,920,129.6
93,43.7396185,7.4272287,930,140.9
94,43.7396983,7.4272861,940,151.4
95,43.7397719,7.4273575,950,161.1
96,43.7398446,7.4274306,960,170.3
97,43.7399176,7.4275034,970,179.1
98,43.7399900,7.4275772,980,187.4
99,43.7400624,7.4276510,990,195.4
100,43.7401356,7.4277234,1000,203.0
101,43.7402086,7.4277959,1010,210.4
102,43.7402815,7.4278688,1020,217.5
103,43.7403533,7.4279439,1030,224.4
104,43.7404247,7.4280195,1040,231.1
105,43.7404964,7.4280945,1050,237.6
106,43.7405685,7.4281689,1060,244.0
107,43.7406406,7.4282433,1070,250.2
108,43.7407127,7.4283176,1080,256.2
109,43.7407849,7.4283920,1090,238.7
110,43.7408570,7.4284664,1100,213.4
111,43.7409291,7.4285407,1110,184.6
112,43.7410012,7.4286151,1120,150.5
113,43.7410725,7.4286910,1130,105.8
114,43.7411115,7.4287979,1140,90.7
115,43.7410951,7.4289193,1150,97.2
116,43.7410434,7.4290200,1160,108.1
117,43.7409696,7.4290897,1170,117.4
118,43.7408826,7.4291171,1180,129.7
119,43.7407927,7.4291215,1190,141.0
120,43.7407041,7.4291408,1200,145.6
121,43.7406229,7.4291937,1210,155.7
122,43.7405484,7.4292632,1220,165.2
123,43.7404746,7.4293344,1230,174.2
124,43.7404006,7.4294050,1240,173.6
125,43.7403211,7.4294627,1250,136.7
126,43.7402394,7.4295129,1260,85.1
127,43.7402062,7.4296216,1270,71.3
128,43.7402528,7.4297240,1280,71.3
129,43.7403389,7.4297392,1290,83.0
130,43.7404094,7.4296641,1300,99.7
131,43.7404725,7.4295755,1310,114.0
132,43.7405427,7.4294980,1320,126.7
133,43.7406151,7.4294241,1330,138.2
134,43.7406873,7.4293499,1340,132.3
135,43.7407680,7.4292974,1350,92.7
136,43.7408555,7.4293173,1360,89.0
137,43.7409145,7.4294077,1370,104.8
138,43.7409506,7.4295216,1380,118.5
139,43.7409698,7.4296430,1390,130.7
140,43.7409991,7.4297603,1400,141.9
141,43.7410339,7.4298749,1410,152.3
142,43.7410642,7.4299919,1420,162.0
143,43.7410864,7.4301121,1430,128.7
144,43.7410883,7.4302361,1440,89.8
145,43.7410472,7.4303416,1450,85.2
146,43.7409601,7.4303634,1460,101.5
147,43.7408702,7.4303586,1470,115.6
148,43.7407803,7.4303529,1480,128.1
149,43.7406904,7.4303472,1490,139.5
150,43.7406005,7.4303414,1500,150.1
151,43.7405106,7.4303357,1510,159.9
152,43.7404207,7.4303300,1520,169.2
153,43.7403309,7.4303237,1530,178.0
154,43.7402411,7.4303164,1540,186.3
155,43.7401515,7.4303047,1550,194.4
156,43.7400621,7.4302905,1560,202.1
157,43.7399732,7.4302713,1570,209.5
158,43.7398848,7.4302487,1580,216.6
159,43.7397966,7.4302235,1590,223.6
160,43.7397095,7.4301927,1600,230.3
161,43.7396228,7.4301596,1610,236.8
162,43.7395368,7.4301227,1620,243.2
163,43.7394520,7.4300815,1630,249.4
164,43.7393677,7.4300379,1640,255.4
165,43.7392847,7.4299897,1650,261.3
166,43.7392028,7.4299384,1660,267.1
167,43.7391216,7.4298848,1670,272.7
168,43.7390424,7.4298259,1680,278.3
169,43.7389641,7.4297648,1690,283.7
170,43.7388870,7.4297005,1700,289.0
171,43.7388118,7.4296323,1710,290.0
172,43.7387376,7.4295620,1720,290.0
173,43.7386655,7.4294877,1730,290.0
174,43.7385949,7.4294106,1740,290.0
175,43.7385254,7.4293316,1750,290.0
176,43.7384588,7.4292481,1760,290.0
177,43.7383934,7.4291628,1770,290.0
178,43.7383297,7.4290749,1780,290.0
179,43.7382684,7.4289840,1790,290.0
180,43.7382089,7.4288906,1800,290.0
181,43.7381515,7.4287950,1810,290.0
182,43.7380960,7.4286971,1820,290.0
183,43.7380431,7.4285965,1830,290.0
184,43.7379924,7.4284938,1840,290.0
185,43.7379439,7.4283891,1850,290.0
186,43.7378975,7.4282826,1860,290.0
187,43.7378533,7.4281743,1870,290.0
188,43.7378121,7.4280638,1880,290.0
189,43.7377711,7.4279531,1890,290.0
190,43.7377305,7.4278422,1900,290.0
191,43.7376900,7.4277312,1910,290.0
192,43.7376488,7.4276206,1920,290.0
193,43.7376076,7.4275101,1930,290.0
194,43.7375664,7.4273996,1940,275.4
195,43.7375273,7.4272878,1950,253.7
196,43.7374986,7.4271700,1960,259.7
197,43.7374699,7.4270521,1970,265.5
198,43.7374412,7.4269343,1980,271.2
199,43.7374140,7.4268159,1990,276.7
200,43.7373918,7.4266954,2000,282.2
201,43.7373697,7.4265749,2010,287.6
202,43.7373510,7.4264534,2020,290.0
203,43.7373358,7.4263308,2030,287.8
204,43.7373206,7.4262083,2040,267.1
205,43.7373049,7.4260859,2050,244.8
206,43.7372888,7.4259635,2060,220.2
207,43.7372728,7.4258412,2070,192.5
208,43.7372577,7.4257186,2080,160.0
209,43.7372427,7.4255960,2090,119.0
210,43.7372243,7.4254764,2100,86.4
211,43.7371402,7.4254450,2110,102.5
212,43.7370507,7.4254447,2120,90.0
213,43.7370089,7.4253433,2130,86.1
214,43.7369961,7.4252202,2140,102.3
215,43.7370228,7.4251055,2150,116.2
216,43.7370628,7.4249943,2160,128.7
217,43.7370555,7.4248713,2170,140.1
218,43.7370421,7.4247484,2180,150.6
219,43.7370293,7.4246253,2190,160.4
220,43.7370171,7.4245021,2200,169.6
221,43.7370050,7.4243789,2210,178.4
222,43.7369929,7.4242557,2220,186.7
223,43.7369808,7.4241325,2230,194.7
224,43.7369687,7.4240093,2240,202.4
225,43.7369565,7.4238861,2250,209.8
226,43.7369442,7.4237630,2260,217.0
227,43.7369320,7.4236398,2270,223.9
228,43.7369198,7.4235166,2280,230.6
229,43.7369075,7.4233935,2290,237.1
230,43.7368943,7.4232705,2300,243.5
231,43.7368785,7.4231481,2310,249.7
232,43.7368623,7.4230258,2320,255.7
233,43.7368509,7.4229025,2330,261.6
234,43.7368395,7.4227792,2340,244.5
235,43.7368281,7.4226558,2350,219.9
236,43.7368167,7.4225325,2360,192.1
237,43.7368053,7.4224092,2370,159.6
238,43.7367931,7.4222861,2380,118.5
239,43.7367483,7.4221806,2390,112.7
240,43.7366731,7.4221132,2400,125.5
241,43.7365938,7.4220545,2410,137.1
242,43.7365127,7.4220006,2420,147.8
243,43.7364308,7.4219493,2430,157.8
244,43.7363468,7.4219050,2440,167.2
245,43.7362607,7.4218685,2450,176.1
246,43.7361740,7.4218355,2460,184.5
247,43.7360863,7.4218077,2470,192.6
248,43.7359976,7.4217875,2480,200.4
249,43.7359081,7.4217736,2490,207.9
250,43.7358183,7.4217693,2500,215.1
251,43.7357283,7.4217689,2510,222.1
252,43.7356385,7.4217747,2520,200.0
253,43.7355498,7.4217898,2530,169.0
254,43.7354634,7.4218243,2540,134.1
255,43.7353860,7.4218840,2550,132.2
256,43.7353286,7.4219792,2560,143.3
257,43.7352750,7.4220792,2570,153.6
258,43.7352127,7.4221682,2580,119.6
259,43.7351311,7.4222138,2590,131.7
260,43.7350416,7.4222268,2600,142.8
261,43.7349528,7.4222464,2610,153.2
262,43.7348643,7.4222692,2620,162.8
263,43.7347759,7.4222920,2630,171.9
264,43.7346874,7.4223147,2640,180.6
265,43.7345989,7.4223369,2650,188.8
266,43.7345104,7.4223593,2660,196.8
267,43.7344219,7.4223819,2670,204.4
268,43.7343334,7.4224046,2680,194.8
269,43.7342457,7.4224320,2690,162.8
270,43.7341582,7.4224610,2700,122.7
271,43.7340705,7.4224646,2710,94.3
272,43.7340034,7.4223842,2720,109.3
273,43.7339600,7.4222755,2730,115.7
274,43.7338921,7.4222047,2740,92.5
275,43.7338031,7.4222186,2750,107.8
276,43.7337167,7.4222531,2760,121.1
277,43.7336315,7.4222931,2770,133.1
278,43.7335469,7.4223355,2780,144.1
279,43.7334633,7.4223810,2790,154.3
280,43.7333816,7.4224332,2800,163.9
281,43.7333008,7.4224877,2810,173.0
282,43.7332211,7.4225455,2820,181.6
283,43.7331446,7.4226109,2830,189.8
284,43.7330724,7.4226850,2840,197.7
285,43.7330036,7.4227651,2850,205.2
286,43.7329397,7.4228524,2860,212.5
287,43.7328816,7.4229474,2870,201.0
288,43.7328322,7.4230511,2880,208.5
289,43.7327915,7.4231620,2890,193.5
290,43.7327536,7.4232747,2900,161.3
291,43.7327112,7.4233841,2910,120.7
292,43.7326496,7.4234693,2920,90.7
293,43.7325629,7.4234975,2930,81.5
294,43.7324871,7.4234387,2940,90.2
295,43.7324523,7.4233250,2950,105.7
296,43.7324278,7.4232054,2960,119.3
297,43.7324033,7.4230857,2970,131.5
298,43.7323819,7.4229652,2980,142.6
299,43.7323678,7.4228424,2990,152.9
300,43.7323617,7.4227184,3000,153.8
301,43.7323660,7.4225944,3010,110.5
302,43.7324026,7.4224827,3020,94.8
303,43.7324768,7.4224172,3030,109.7
304,43.7325661,7.4224040,3040,122.8
305,43.7326522,7.4223689,3050,134.7
306,43.7327322,7.4223125,3060,145.6
307,43.7328036,7.4222370,3070,155.7
308,43.7328737,7.4221591,3080,165.2
309,43.7329488,7.4220906,3090,174.2
310,43.7330253,7.4220251,3100,182.8
311,43.7331012,7.4219584,3110,190.9
312,43.7331790,7.4218962,3120,198.8
313,43.7332593,7.4218399,3130,206.3
314,43.7333425,7.4217938,3140,213.6
315,43.7334287,7.4217577,3150,220.6
316,43.7335156,7.4217260,3160,227.4
317,43.7336022,7.4216923,3170,234.0
318,43.7336882,7.4216555,3180,240.4
319,43.7337744,7.4216199,3190,246.7
320,43.7338608,7.4215852,3200,252.8
321,43.7339472,7.4215504,3210,258.8
322,43.7340339,7.4215170,3220,264.6
323,43.7341205,7.4214835,3230,270.3
324,43.7342075,7.4214517,3240,275.9
325,43.7342948,7.4214217,3250,281.4
326,43.7343828,7.4213954,3260,286.7
327,43.7344714,7.4213743,3270,290.0
328,43.7345603,7.4213545,3280,290.0
329,43.7346491,7.4213349,3290,290.0
330,43.7347380,7.4213153,3300,290.0
331,43.7348271,7.4212982,3310,290.0
332,43.7349164,7.4212834,3320,290.0
